Post-OCR Excelsior 1937-1940 - Llama 3.2 (conservador)
Inicio: 2026-09-14T10:09:38.275050
pagina,lineas_procesadas,lineas_corregidas
Excelsior-1938-09-01-N1062_p018,29,16
Excelsior-1938-09-01-N1062_p019,58,24
Excelsior-1938-09-01-N1062_p020,83,36
Excelsior-1938-09-01-N1062_p021,129,64
Excelsior-1938-09-01-N1062_p022,17,8
Excelsior-1938-09-01-N1062_p023,45,24
Excelsior-1938-09-01-N1062_p024,38,13
Excelsior-1938-09-01-N1062_p025,0,0
Excelsior-1938-09-01-N1062_p026,10,8
Excelsior-1938-09-01-N1062_p027,11,7
Excelsior-1938-09-01-N1062_p028,34,19
Excelsior-1938-09-01-N1062_p029,5,2
Excelsior-1938-09-01-N1062_p030,23,13
Excelsior-1938-09-01-N1062_p031,3,2
Excelsior-1938-09-01-N1062_p032,28,13
Excelsior-1938-09-01-N1062_p033,146,65
Excelsior-1938-09-01-N1062_p034,182,81
Excelsior-1938-09-01-N1062_p035,10,3
Excelsior-1938-09-01-N1062_p036,29,13
Excelsior-1938-09-01-N1062_p037,53,24
Excelsior-1938-09-01-N1062_p038,29,11
Excelsior-1938-09-01-N1062_p039,11,3
Excelsior-1938-09-01-N1062_p041,36,16
Excelsior-1938-09-01-N1062_p042,122,54
Excelsior-1938-09-01-N1062_p043,23,9
Excelsior-1938-09-01-N1062_p044,47,13
Excelsior-1938-09-01-N1062_p045,84,40
Excelsior-1938-09-01-N1062_p046,98,38
Excelsior-1938-09-01-N1062_p047,38,15
Excelsior-1938-09-01-N1062_p048,28,7
Excelsior-1938-09-01-N1062_p049,106,55
Excelsior-1938-09-01-N1062_p050,159,82
Excelsior-1938-09-01-N1062_p051,141,78
Excelsior-1938-09-01-N1062_p052,29,11
Excelsior-1938-09-01-N1062_p053,33,17
Excelsior-1938-09-01-N1062_p054,33,12
Excelsior-1938-09-01-N1062_p055,35,15
Excelsior-1938-09-01-N1062_p056,44,16
Excelsior-1938-09-01-N1062_p057,135,79
Excelsior-1938-09-01-N1062_p058,70,32
Excelsior-1938-09-01-N1062_p059,24,15
Excelsior-1938-09-01-N1062_p060,72,31
Excelsior-1938-09-01-N1062_p061,53,27
Excelsior-1938-09-01-N1062_p062,111,40
Excelsior-1938-09-01-N1062_p063,157,81
Excelsior-1938-09-01-N1062_p064,61,27
Excelsior-1938-09-01-N1062_p065,22,13
Excelsior-1938-09-01-N1062_p066,26,12
Excelsior-1938-09-01-N1062_p067,130,54
Excelsior-1938-09-01-N1062_p068,56,20
Excelsior-1938-09-01-N1062_p069,33,16
Excelsior-1938-09-01-N1062_p070,18,3
Excelsior-1938-09-01-N1062_p071,136,66
Excelsior-1938-09-01-N1062_p072,155,86
Excelsior-1938-09-01-N1062_p073,14,7
Excelsior-1938-09-01-N1062_p074,34,16
Excelsior-1938-09-01-N1062_p075,33,14
Excelsior-1938-09-01-N1062_p076,38,19
Excelsior-1938-09-01-N1062_p077,128,61
Excelsior-1938-09-01-N1062_p078,120,53
Excelsior-1938-09-01-N1062_p079,4,1
Excelsior-1938-09-01-N1062_p080,51,20
Excelsior-1938-10-01-N1063_p001,0,0
Excelsior-1938-10-01-N1063_p002,29,10
Excelsior-1938-10-01-N1063_p003,48,19
Excelsior-1938-10-01-N1063_p004,83,47
Excelsior-1938-10-01-N1063_p005,104,52
Excelsior-1938-10-01-N1063_p006,113,70
Excelsior-1938-10-01-N1063_p007,102,48
Excelsior-1938-10-01-N1063_p008,114,55
Excelsior-1938-10-01-N1063_p009,20,14
Excelsior-1938-10-01-N1063_p010,41,14
Excelsior-1938-10-01-N1063_p011,143,63
Excelsior-1938-10-01-N1063_p012,149,70
Excelsior-1938-10-01-N1063_p013,34,11
Excelsior-1938-10-01-N1063_p014,52,18
Excelsior-1938-10-01-N1063_p015,34,20
Excelsior-1938-10-01-N1063_p016,39,19
Excelsior-1938-10-01-N1063_p017,22,11
Excelsior-1938-10-01-N1063_p018,65,33
Excelsior-1938-10-01-N1063_p019,56,36
Excelsior-1938-10-01-N1063_p020,0,0
Excelsior-1938-10-01-N1063_p021,54,30
Excelsior-1938-10-01-N1063_p022,17,7
Excelsior-1938-10-01-N1063_p023,156,79
Excelsior-1938-10-01-N1063_p024,141,88
Excelsior-1938-10-01-N1063_p025,137,65
Excelsior-1938-10-01-N1063_p026,1,0
Excelsior-1938-10-01-N1063_p027,48,26
Excelsior-1938-10-01-N1063_p028,2,0
Excelsior-1938-10-01-N1063_p029,30,14
Excelsior-1938-10-01-N1063_p030,158,85
Excelsior-1938-10-01-N1063_p031,146,80
Excelsior-1938-10-01-N1063_p032,39,12
Excelsior-1938-10-01-N1063_p033,7,3
Excelsior-1938-10-01-N1063_p034,7,2
Excelsior-1938-10-01-N1063_p035,19,10
Excelsior-1938-10-01-N1063_p036,19,8
Excelsior-1938-10-01-N1063_p037,31,11
Excelsior-1938-10-01-N1063_p038,57,28
Excelsior-1938-10-01-N1063_p039,42,15
Excelsior-1938-10-01-N1063_p040,108,48
Excelsior-1938-10-01-N1063_p041,30,15
Excelsior-1938-10-01-N1063_p042,158,87
Excelsior-1938-10-01-N1063_p043,147,89
Excelsior-1938-10-01-N1063_p044,140,68
Excelsior-1938-10-01-N1063_p045,0,0
Excelsior-1938-10-01-N1063_p046,48,27
Excelsior-1938-10-01-N1063_p047,28,19
Excelsior-1938-10-01-N1063_p049,58,19
Excelsior-1938-10-01-N1063_p050,51,20
Excelsior-1938-10-01-N1063_p051,93,38
Excelsior-1938-10-01-N1063_p052,80,39
Excelsior-1938-10-01-N1063_p053,100,54
Excelsior-1938-10-01-N1063_p054,182,87
Excelsior-1938-10-01-N1063_p055,160,72
Excelsior-1938-10-01-N1063_p056,9,5
Excelsior-1938-10-01-N1063_p057,56,24
Excelsior-1938-10-01-N1063_p058,65,22
Excelsior-1938-10-01-N1063_p059,50,35
Excelsior-1938-10-01-N1063_p060,110,59
Excelsior-1938-10-01-N1063_p061,143,83
Excelsior-1938-10-01-N1063_p062,30,13
Excelsior-1938-10-01-N1063_p063,149,65
Excelsior-1938-10-01-N1063_p064,152,69
Excelsior-1938-10-01-N1063_p065,128,61
Excelsior-1938-10-01-N1063_p066,121,68
Excelsior-1938-10-01-N1063_p067,110,49
Excelsior-1938-10-01-N1063_p068,133,56
Excelsior-1938-10-01-N1063_p069,61,16
Excelsior-1938-10-01-N1063_p070,3,1
Excelsior-1938-11-01-N1064_p001,7,2
Excelsior-1938-11-01-N1064_p002,30,15
Excelsior-1938-11-01-N1064_p003,53,20
Excelsior-1938-11-01-N1064_p004,120,72
Excelsior-1938-11-01-N1064_p005,108,48
Excelsior-1938-11-01-N1064_p006,90,48
Excelsior-1938-11-01-N1064_p007,36,13
Excelsior-1938-11-01-N1064_p008,17,13
Excelsior-1938-11-01-N1064_p009,159,65
Excelsior-1938-11-01-N1064_p010,170,86
Excelsior-1938-11-01-N1064_p011,101,48
Excelsior-1938-11-01-N1064_p012,69,27
Excelsior-1938-11-01-N1064_p013,45,18
Excelsior-1938-11-01-N1064_p014,69,26
Excelsior-1938-11-01-N1064_p015,67,32
Excelsior-1938-11-01-N1064_p016,16,9
Excelsior-1938-11-01-N1064_p017,51,31
Excelsior-1938-11-01-N1064_p018,15,8
Excelsior-1938-11-01-N1064_p019,42,17
Excelsior-1938-11-01-N1064_p020,41,24
Excelsior-1938-11-01-N1064_p021,39,19
Excelsior-1938-11-01-N1064_p022,108,52
Excelsior-1938-11-01-N1064_p023,0,0
Excelsior-1938-11-01-N1064_p024,49,27
Excelsior-1938-11-01-N1064_p025,140,69
Excelsior-1938-11-01-N1064_p026,152,72
Excelsior-1938-11-01-N1064_p027,155,89
Excelsior-1938-11-01-N1064_p028,135,49
Excelsior-1938-11-01-N1064_p029,0,0
Excelsior-1938-11-01-N1064_p030,53,25
Excelsior-1938-11-01-N1064_p031,56,15
Excelsior-1938-11-01-N1064_p032,11,7
Excelsior-1938-11-01-N1064_p033,36,18
Excelsior-1938-11-01-N1064_p034,147,59
Excelsior-1938-11-01-N1064_p035,45,24
Excelsior-1938-11-01-N1064_p036,5,2
Excelsior-1938-11-01-N1064_p037,95,47
Excelsior-1938-11-01-N1064_p038,105,54
Excelsior-1938-11-01-N1064_p039,139,67
Excelsior-1938-11-01-N1064_p040,154,77
Excelsior-1938-11-01-N1064_p041,3,1
Excelsior-1938-11-01-N1064_p042,70,33
Excelsior-1938-11-01-N1064_p043,41,16
Excelsior-1938-11-01-N1064_p044,24,10
Excelsior-1938-11-01-N1064_p045,30,13
Excelsior-1938-11-01-N1064_p046,47,19
Excelsior-1938-11-01-N1064_p047,92,34
Excelsior-1938-11-01-N1064_p048,2,1
Excelsior-1938-11-01-N1064_p049,80,29
Excelsior-1938-11-01-N1064_p050,166,86
Excelsior-1938-11-01-N1064_p051,153,73
Excelsior-1938-11-01-N1064_p052,132,68
Excelsior-1938-11-01-N1064_p053,83,31
Excelsior-1938-11-01-N1064_p054,98,57
Excelsior-1938-11-01-N1064_p055,143,68
Excelsior-1938-11-01-N1064_p056,35,13
Excelsior-1938-11-01-N1064_p057,157,68
Excelsior-1938-11-01-N1064_p058,122,71
Excelsior-1938-11-01-N1064_p059,130,56
Excelsior-1938-11-01-N1064_p060,61,16
Excelsior-1938-11-01-N1064_p061,2,2
Excelsior-1940-10-01-N1087_p001,1,1
Excelsior-1940-10-01-N1087_p002,18,8
Excelsior-1940-10-01-N1087_p003,71,34
Excelsior-1940-10-01-N1087_p004,100,44
Excelsior-1940-10-01-N1087_p005,81,36
Excelsior-1940-10-01-N1087_p006,120,64
Excelsior-1940-10-01-N1087_p007,27,13
Excelsior-1940-10-01-N1087_p008,36,16
Excelsior-1940-10-01-N1087_p009,26,10
Excelsior-1940-10-01-N1087_p010,25,13
Excelsior-1940-10-01-N1087_p011,92,48
Excelsior-1940-10-01-N1087_p012,97,54
Excelsior-1940-10-01-N1087_p013,62,41
Excelsior-1940-10-01-N1087_p014,65,42
Excelsior-1940-10-01-N1087_p015,85,37
Excelsior-1940-10-01-N1087_p016,29,16
Excelsior-1940-10-01-N1087_p017,13,8
Excelsior-1940-10-01-N1087_p018,121,68
Excelsior-1940-10-01-N1087_p019,67,31
Excelsior-1940-10-01-N1087_p020,70,38
Excelsior-1940-10-01-N1087_p021,110,50
Excelsior-1940-10-01-N1087_p022,25,7
Excelsior-1940-10-01-N1087_p023,3,2
Excelsior-1940-10-01-N1087_p024,34,20
Excelsior-1940-10-01-N1087_p025,55,26
Excelsior-1940-10-01-N1087_p026,137,63
Excelsior-1940-10-01-N1087_p027,129,65
Excelsior-1940-10-01-N1087_p028,70,35
Excelsior-1940-10-01-N1087_p029,44,16
Excelsior-1940-10-01-N1087_p031,50,27
Excelsior-1940-10-01-N1087_p032,87,44
Excelsior-1940-10-01-N1087_p033,26,10
